都道府県名,市区町村名,フィーチャID,形状(WKT),タイトル,説明,スタイルID,期間開始日時,期間終了日時,作成者,作成日時,更新者,更新日時
愛知県,岩倉市,1,POINT(136.877902577126 35.2770385252366),五条川（岩倉市下本町）,,#style1,,,システム管理者,2015/01/26 16:32:52,システム管理者,
愛知県,岩倉市,2,POINT(136.877194289818 35.2752880610942),岩倉城址,,#style2,,,システム管理者,2015/01/26 16:32:52,システム管理者,
愛知県,岩倉市,3,POINT(136.850188206196 35.2747697156242),自然生態園,,#style3,,,システム管理者,2015/01/26 16:32:52,システム管理者,
愛知県,豊明市,1,POINT(136.980683704243 35.0597841557568),桶狭間古戦場,,#style3,,,システム管理者,2015/01/26 16:32:52,システム管理者,
愛知県,豊明市,2,POINT(137.021970046415 35.0607779514512),青木地蔵　楠木,,#style1,,,システム管理者,2015/01/26 16:32:52,システム管理者,
愛知県,豊明市,3,POINT(137.021714301084 35.0690080030209),沓掛城址,,#style2,,,システム管理者,2015/01/26 16:32:52,システム管理者,
愛知県,大口町,1,POINT(136.915675505377 35.3367520494006),五条川（大口町）,,#style1,,,システム管理者,2015/01/26 16:32:55,システム管理者,
愛知県,東海市,1,POINT(136.902574713542 35.0275741843895),大池公園,,#style4,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,東海市,2,POINT(136.896031140352 35.0245578850465),大宮神社,,#style2,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,東海市,3,POINT(136.894620263281 35.0468659845234),東海市東海町,,#style3,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,東海市,4,POINT(136.904462311013 35.0439038096188),聚楽園大仏,,#style1,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,武豊町,1,POINT(136.895924812579 34.8703688611031),壱町田湿地,,#style1,,,システム管理者,2015/01/26 16:32:58,システム管理者,
愛知県,愛西市,1,POINT(136.682116343429 35.1455610130739),木曽川（立田大橋）,,#style3,,,システム管理者,2015/01/26 16:32:53,システム管理者,
愛知県,愛西市,2,POINT(136.680287320901 35.1320140281307),船頭平閘門,,#style2,,,システム管理者,2015/01/26 16:32:53,システム管理者,
愛知県,愛西市,3,POINT(136.723323946906 35.13997659505),西條八幡社,,#style1,,,システム管理者,2015/01/26 16:32:53,システム管理者,
愛知県,愛西市,4,POINT(136.696668400319 35.1437343170629),森川花はす田,,#style4,,,システム管理者,2015/01/26 16:32:53,システム管理者,
愛知県,北名古屋市,1,POINT(136.861645753682 35.2562026491401),アートエリアロード,,#style1,,,システム管理者,2015/01/26 16:32:53,システム管理者,
愛知県,一色町,1,POINT(137.02287145336 34.8084991884064),諏訪神社,,#style3,,,システム管理者,2015/01/26 16:32:58,システム管理者,
愛知県,一色町,2,POINT(137.046511667266 34.794389268062),矢作古川西堤防,,#style6,,,システム管理者,2015/01/26 16:32:58,システム管理者,
愛知県,一色町,3,POINT(137.049334382235 34.7843763096784),矢作古川,,#style7,,,システム管理者,2015/01/26 16:32:58,システム管理者,
愛知県,一色町,4,POINT(137.035015689588 34.7253037986513),黒壁（一色町佐久島）,,#style2,,,システム管理者,2015/01/26 16:32:58,システム管理者,
愛知県,一色町,5,POINT(137.044604262839 34.7167493972628),大島,,#style9,,,システム管理者,2015/01/26 16:32:58,システム管理者,
愛知県,一色町,6,POINT(137.034053692602 34.7260059357919),佐久島西港,,#style5,,,システム管理者,2015/01/26 16:32:58,システム管理者,
愛知県,一色町,7,POINT(137.047304482513 34.7143179815843),筒島（弁天島）,,#style4,,,システム管理者,2015/01/26 16:32:58,システム管理者,
愛知県,一色町,8,POINT(137.008838291668 34.7965278839648),一色町小薮,,#style1,,,システム管理者,2015/01/26 16:32:58,システム管理者,
愛知県,一色町,9,POINT(137.048734161759 34.7223789158523),八劔神社,,#style8,,,システム管理者,2015/01/26 16:32:58,システム管理者,
愛知県,高浜市,1,POINT(136.985445543903 34.9338556502997),大山緑地,,#style2,,,システム管理者,2015/01/26 16:32:51,システム管理者,
愛知県,高浜市,2,POINT(136.981747603019 34.9232035686399),高浜市やきものの里かわら美術館,,#style4,,,システム管理者,2015/01/26 16:32:51,システム管理者,
愛知県,高浜市,3,POINT(136.986698784589 34.9213900054924),土管坂（高浜市青木町）,,#style5,,,システム管理者,2015/01/26 16:32:51,システム管理者,
愛知県,高浜市,4,POINT(136.985417244988 34.9417435694865),ドラゴンパーク（たかびれ公園）,,#style1,,,システム管理者,2015/01/26 16:32:51,システム管理者,
愛知県,高浜市,5,POINT(136.989339092278 34.9456257234711),人形小路,,#style7,,,システム管理者,2015/01/26 16:32:51,システム管理者,
愛知県,高浜市,6,POINT(136.994754805153 34.9263778585462),稗田川,,#style3,,,システム管理者,2015/01/26 16:32:51,システム管理者,
愛知県,高浜市,7,POINT(136.9819215535 34.9237266935861),森前公園,,#style6,,,システム管理者,2015/01/26 16:32:51,システム管理者,
愛知県,常滑市,1,POINT(136.823243042837 34.8856277645234),常滑市りんくう町,,#style8,,,システム管理者,2015/01/26 16:32:48,システム管理者,
愛知県,常滑市,2,POINT(136.823992221789 34.8975384837294),鬼崎沖,,#style9,,,システム管理者,2015/01/26 16:32:48,システム管理者,
愛知県,常滑市,3,POINT(136.839754294029 34.8905052457752),やきもの散歩道（陶磁器会館）,,#style6,,,システム管理者,2015/01/26 16:32:48,システム管理者,
愛知県,常滑市,4,POINT(136.868122421521 34.8242916252274),小脇公園,,#style2,,,システム管理者,2015/01/26 16:32:48,システム管理者,
愛知県,常滑市,5,POINT(136.857441405195 34.8624070870294),常滑市熊野町,,#style7,,,システム管理者,2015/01/26 16:32:48,システム管理者,
愛知県,常滑市,6,POINT(136.874270883961 34.8755293219237),本宮山,,#style1,,,システム管理者,2015/01/26 16:32:48,システム管理者,
愛知県,常滑市,7,POINT(136.839152234443 34.8905847588417),招き猫,,#style5,,,システム管理者,2015/01/26 16:32:48,システム管理者,
愛知県,常滑市,8,POINT(136.865878444709 34.9331947800839),矢田八幡神社,,#style4,,,システム管理者,2015/01/26 16:32:48,システム管理者,
愛知県,名古屋市,1,POINT(136.882312767278 35.2103158448448),庄内緑地公園,,#style7,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,2,POINT(136.920657162411 35.1553937396485),鶴舞公園,,#style8,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,3,POINT(136.954723744802 35.0635187038039),大高緑地,,#style12,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,4,POINT(136.897198007788 35.1729671011738),桜通,"&lt;img src=&quot;http://cbk0.google.com/cbk?output=thumbnail&amp;amp;w=90&amp;amp;h=68&amp;amp;ll=35.173895,136.911670&quot;&gt;",#style4,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,5,POINT(136.948379385227 35.1403025070372),昭和美術館,,#style11,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,6,POINT(136.91874862516 35.1802787667035),白壁・主税・橦木町並み保存地区,&lt;a href=&quot;http://www.google.co.jp/maps/place?ftid=0x600371271f4ae06f:0x76cc735fd2a09960&amp;amp;q=%E6%A9%A6%E6%9C%A8%E7%94%BA&amp;amp;hl=ja&amp;amp;cad=src:ppiwlink&amp;amp;ei=pv1LS-uvJZDooATC8c2vDw&amp;amp;dtab=5&quot;&gt;&lt;img src=&quot;http://,#style2,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,7,POINT(136.948239998643 35.1678234769033),爲三郎記念館,,#style9,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,8,POINT(136.906403823417 35.1814788331958),名古屋市役所,,#style5,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,9,POINT(136.899088948746 35.1855644597128),名古屋城天守閣,,#style13,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,10,POINT(136.968002366498 35.153362216165),名古屋大学 豊田講堂,,#style3,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,11,POINT(136.908343220679 35.1723333267936),名古屋テレビ塔,,#style10,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,12,POINT(136.957003183878 35.1410388946834),隼人池公園,&lt;br&gt;,#style1,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,13,POINT(136.881573351547 35.179890479954),ノリタケの森,,#style6,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,14,POINT(136.985459112289 35.160988793561),星が丘テラス,,#style15,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,15,POINT(136.891737424041 35.167708422482),納屋橋,,#style14,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,名古屋市,16,POINT(136.804978726407 35.1257885959017),中川区富永,,#style16,,,システム管理者,2015/01/26 16:32:43,システム管理者,
愛知県,豊田市,1,POINT(137.317411113619 35.1360513356966),中馬街道,,#style17,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,2,POINT(137.315566289354 35.135359498044),足助川,,#style5,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,3,POINT(137.499842183178 35.2129497406525),豊田市桑原町,,#style13,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,4,POINT(137.313252826637 35.1303231970406),香嵐渓,,#style12,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,5,POINT(137.170954649616 35.0845365887964),豊田スタジアム,,#style8,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,6,POINT(137.16757691928 35.085960969454),豊田大橋,,#style6,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,7,POINT(137.424022549444 35.2240961290398),奥矢作湖,,#style20,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,8,POINT(137.189113595814 35.1175369846713),平戸橋,,#style23,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,9,POINT(137.17388980395 35.040004110808),豊田アローズブリッジ（矢作川橋）,,#style15,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,10,POINT(137.192615500679 35.1587867753803),愛知県緑化センター,,#style19,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,11,POINT(137.312678010256 35.1341009786833),巴橋,,#style16,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,12,POINT(137.509765862662 35.2141930508863),瑞龍寺,,#style11,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,13,POINT(137.288135714926 35.2334403183697),四季桜公園,,#style21,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,14,POINT(137.161457163261 35.0895216301591),児ノ口公園,,#style18,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,15,POINT(137.218098670082 35.0990482758234),鞍ヶ池公園,,#style7,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,16,POINT(137.156346717171 35.086735789999),駅前ロータリー,,#style9,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,17,POINT(137.160415584482 35.0853027453202),桜町本通り商店街,,#style1,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,18,POINT(137.153869745742 35.0766752441642),樹木町のまちなみ,,#style10,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,19,POINT(137.191938009081 35.1686848308052),全トヨタ労連研修センターつどいの丘,,#style22,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,20,POINT(137.151796585805 35.0802628261587),豊田市美術館,,#style3,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,21,POINT(137.156482545997 35.0527326083734),豊田市トヨタ町,,#style4,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,22,POINT(137.248675995437 35.1942517674822),ふじの回廊,,#style14,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,豊田市,23,POINT(137.15578754009 35.0856810320124),緑陰歩道,,#style2,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,碧南市,1,POINT(136.977475362963 34.8722900150121),大浜漁港,,#style26,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,2,POINT(136.974031966399 34.86196252983),大浜熊野大神社,,#style22,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,3,POINT(136.980605469076 34.8715285776223),旧大浜警察署,,#style18,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,4,POINT(136.980973195556 34.8733862110602),大浜（浜寺町）,,#style27,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,5,POINT(136.974367689582 34.8445912785061),堤の松並木,,#style20,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,6,POINT(136.980092041448 34.8712302988488),大浜地区の小径,,#style29,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,7,POINT(136.981962684112 34.8711430056536),堀川,,#style19,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,8,POINT(136.983199994838 34.885334333127),旧新須磨海岸,,#style13,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,9,POINT(136.972904628848 34.8623123208495),玉津浦海水浴場,,#style12,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,10,POINT(136.98481813695 34.8907547112742),碧緑地,,#style24,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,11,POINT(136.993669236015 34.8594588556843),矢作川河口,,#style6,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,12,POINT(136.981507509494 34.879012325855),碧南市臨海公園,,#style17,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,13,POINT(137.024143621306 34.8821258333738),矢作川桜堤み,,#style10,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,14,POINT(137.012140772685 34.9065415001033),油が淵,,#style3,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,15,POINT(136.987790737105 34.8720892696717),乳母道,,#style16,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,16,POINT(136.985484489842 34.9011949316608),衣浦温泉,,#style23,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,17,POINT(136.976854046842 34.8570628467164),蜆川一ツ橋,,#style1,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,18,POINT(136.989517868758 34.8981087764292),新川小学校,,#style7,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,19,POINT(136.996778328848 34.8951893061095),新川沿い遊歩道,,#style15,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,20,POINT(136.989745673829 34.8939262058378),名鉄三河線鉄橋,,#style28,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,21,POINT(136.993455819492 34.867355626062),棚尾地区,,#style31,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,22,POINT(137.013911581119 34.889866217313),広藤園,,#style8,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,23,POINT(136.984055460644 34.8497357134728),碧南市稲荷町,,#style2,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,24,POINT(136.993588085621 34.9033973536029),碧南市芸術文化ホール,,#style14,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,25,POINT(137.000516911563 34.8860083051929),中山町地蔵通り,,#style11,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,26,POINT(136.967713675588 34.8742036244054),ボードウォーク,,#style4,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,27,POINT(137.009418585654 34.9109102157794),哲学たいけん村無我苑,,#style21,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,28,POINT(136.998127491799 34.8774679073627),八重酒造味淋,,#style9,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,29,POINT(136.997831823074 34.8776207505304),碧南市東浦町,,#style30,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,30,POINT(137.011242812251 34.8952627502797),緑のトンネル,,#style5,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,碧南市,31,POINT(137.012268392459 34.9085159171325),西端旧集落,,#style25,,,システム管理者,2015/01/26 16:32:46,システム管理者,
愛知県,安城市,1,POINT(137.087048709341 34.9598462397386),安城七夕まつり,,#style2,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,安城市,2,POINT(137.077771750955 34.9822054623278),作野四季の道,,#style3,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,安城市,3,POINT(137.046328486548 34.9202737272714),丈山苑,,#style1,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,安城市,4,POINT(137.059886353352 34.9308427763739),安城産業文化公園デンパーク,,#style4,,,システム管理者,2015/01/26 16:32:47,システム管理者,
愛知県,東浦町,1,POINT(136.962523657628 34.9779015827424),於大公園,,#style1,,,システム管理者,2015/01/26 16:32:57,システム管理者,
愛知県,知多市,1,POINT(136.865420415653 34.9656468108322),知多市岡田,,#style3,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,知多市,2,POINT(136.865901718968 34.9657922396332),知多市岡田西島,,#style1,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,知多市,3,POINT(136.867689730521 34.964958283161),知多岡田簡易局,,#style2,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,大府市,1,POINT(136.95054835044 35.008702201273),石ヶ瀬川（大府市）,,#style9,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,大府市,2,POINT(136.927675581943 35.007153867573),吉川熊野神社,,#style10,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,大府市,3,POINT(136.960377896139 35.0080972899162),大府駅　西口,,#style4,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,大府市,4,POINT(136.928301684247 35.0103823599198),神様池,,#style11,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,大府市,5,POINT(136.94880951851 34.9992066055571),あいち健康の森公園,,#style6,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,大府市,6,POINT(136.94188951143 34.9978417826676),大府市半月町,,#style3,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,大府市,7,POINT(136.965525971771 35.0131721918383),大倉公園,,#style7,,,システム管理者,2015/01/26 16:32:50,システム管理者,
愛知県,大府市,8,POINT(136.942702295957 35.0292234287561),長草天神社,,#style2,,,システム管理者,2015/01/26 16:32:50,システム管理者,
